Day,Scheduled_Flights,Tracked_Flights,Unnamed: 3,Accuracy
2020-05-11,107,77,,71.96261682242991
2020-05-12,104,75,,72.11538461538461
2020-05-13,130,98,,75.38461538461539
2020-05-14,135,100,,74.07407407407408
2020-05-15,118,92,,77.96610169491525
2020-05-16,114,89,,78.0701754385965
2020-05-17,127,94,,74.01574803149606
2020-05-18,121,85,,70.24793388429752
2020-05-19,109,77,,70.64220183486239
2020-05-20,125,87,,69.6
2020-05-21,143,99,,69.23076923076923
2020-05-22,119,86,,72.26890756302521
2020-05-23,127,92,,72.44094488188976
2020-05-24,140,86,,61.42857142857143
2020-05-25,114,77,,67.54385964912281
2020-05-26,105,75,,71.42857142857143
2020-05-27,127,90,,70.86614173228347
2020-05-28,140,104,,74.28571428571429
2020-05-29,121,84,,69.42148760330579
2020-05-30,125,85,,68.0
2020-05-31,131,93,,70.99236641221374
2020-06-01,134,96,,71.64179104477611
2020-06-02,139,105,,75.53956834532374
2020-06-03,150,111,,74.0
2020-06-04,169,126,,74.55621301775149
2020-06-05,163,129,,79.14110429447852
2020-06-06,158,119,,75.31645569620254
2020-06-07,164,125,,76.21951219512195
2020-06-08,151,118,,78.1456953642384
2020-06-09,147,121,,82.31292517006803
